"Name","Url","Status","ContentType","File","SizeBytes","Error"
"A1_Kwan_2008_Reasoning_About_Evidence_Using_BN","https://opendl.ifip-tc6.org/db/conf/ifip11-9/df2008/KwanCLL08.pdf","OK","application/pdf","A1_Kwan_2008_Reasoning_About_Evidence_Using_BN.pdf","1435557",""
"A2_Schneps_2018_Ranking_Impact_Tests_BN","https://pmc.ncbi.nlm.nih.gov/articles/PMC7512417/","OK","text/html; charset=utf-8","A2_Schneps_2018_Ranking_Impact_Tests_BN.html","196190",""
"A3_Casey_Pollitt_2021_Quantitative_Evaluation_DFI","https://pmc.ncbi.nlm.nih.gov/articles/PMC8112825/","OK","text/html; charset=utf-8","A3_Casey_Pollitt_2021_Quantitative_Evaluation_DFI.html","140913",""
"A4_JDFSL_Admissibility_BN_Digital_Evidence","https://commons.erau.edu/cgi/viewcontent.cgi?article=1180&context=jdfsl","OK","text/html; charset=UTF-8","A4_JDFSL_Admissibility_BN_Digital_Evidence.html","2",""
"A5_Fenton_Neil_Berger_2016_Legal_BN","https://pmc.ncbi.nlm.nih.gov/articles/PMC4930139/","OK","text/html; charset=utf-8","A5_Fenton_Neil_Berger_2016_Legal_BN.html","198515",""
"B1_Liu_PNFM_NIST_PDF","https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=919693","OK","application/pdf; charset=UTF-8","B1_Liu_PNFM_NIST_PDF.pdf","884603",""
"B2_PNFM_CSRC_PDF","https://csrc.nist.gov/CSRC/media/Projects/Measuring-Security-Risk-in-Enterprise-Networks/documents/pnfm_evidence-analysis.pdf","OK","application/pdf","B2_PNFM_CSRC_PDF.pdf","1141215",""
"B3_PNFM_GMU_PDF","https://mason.gmu.edu/~cliu6/papers/AProbabilisticNetworkForensicM.pdf","OK","application/pdf","B3_PNFM_GMU_PDF.pdf","412560",""
"B4_Nisioti_2022_2023_ScienceDirect","https://www.sciencedirect.com/science/article/pii/S2666281722001615","FAILED","","","0","Response status code does not indicate success: 403 (Forbidden)."
"B5_Nisioti_Open_PDF","https://researchprofiles.herts.ac.uk/files/34402091/1_s2.0_S2666281722001615_main.pdf","FAILED","","","0","Response status code does not indicate success: 403 (Forbidden)."
"C1_Pappaterra_2018_Threat_Detection_BN","http://www.diva-portal.org/smash/get/diva2:1335798/FULLTEXT01.pdf","FAILED","","","0","Response status code does not indicate success: 403 (Forbidden)."
"C2_Murray_2016_Memory_Forensics_Triage","https://www.westminster.ac.uk/sites/default/public-files/general-documents/rohan-murray-a-memory-forensics-triage-thesis.pdf","OK","application/pdf","C2_Murray_2016_Memory_Forensics_Triage.pdf","2107737",""
"C3_DigitalForensics_PNFM_Blog","https://www.digitalforensics.com/blog/articles/a-probabilistic-network-forensic-model-for-evidence-analysis/","FAILED","","","0","Response status code does not indicate success: 404 (Not Found)."
"C4_BayesForensics_GitHub","https://github.com/mittalgovind/BayesForensics","OK","text/html; charset=utf-8","C4_BayesForensics_GitHub.html","331084",""
"C5_Korb_Nicholson_Bayesian_AI_SemanticScholar","https://www.semanticscholar.org/paper/Bayesian-Artificial-Intelligence-Korb-Nicholson/0150254af6d36b4e8eef503da2b6c25d16870ffb","OK","text/html; charset=UTF-8","C5_Korb_Nicholson_Bayesian_AI_SemanticScholar.html","2",""
"C6_ACM_DOI_10_1145_3769126_3769231","https://dl.acm.org/doi/10.1145/3769126.3769231","FAILED","","","0","Response status code does not indicate success: 403 (Forbidden)."
"C7_ScienceDirect_S2666281725001635","https://www.sciencedirect.com/science/article/pii/S2666281725001635","FAILED","","","0","Response status code does not indicate success: 403 (Forbidden)."
